关键词,意图（代码）,搜索量,趋势,KD,CPC (USD),竞争程度,SF,结果,快照日期,更新状态
where can i see the northern lights tonight,0,2400,0 | 4 | 0 | 0 | 0 | 1 | 36 | 0 | 7 | 0 | 0 | 0,43,0.71,0.02,7 | 9 | 15 | 21 | 28 | 50,184,20260718,0
where is a storm right now,0,2400,1 | 10 | 0 | 3 | 10 | 12 | 3 | 3 | 100 | 8 | 19 | 10,90,0.73,0.01,7 | 9 | 21 | 28,231,20260718,0
where is the storm right now,0,2400,4 | 5 | 7 | 3 | 8 | 10 | 2 | 2 | 66 | 5 | 13 | 5,92,0.73,0.01,7 | 9 | 21 | 28,231,20260718,0
can i see northern lights tonight,0,1900,0 | 10 | 0 | 0 | 4 | 2 | 81 | 0 | 4 | 2 | 0 | 0,57,1.26,0.01,7 | 9 | 21 | 28 | 50,179,20260718,0
can i see the aurora tonight,0,1900,0 | 0 | 0 | 2 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,45,1.26,0.01,7 | 9 | 21 | 28 | 50,175,20260718,0
can we see the northern lights tonight,0,1900,0 | 4 | 0 | 0 | 2 | 0 | 24 | 0 | 3 | 0 | 0 | 0,44,0,0.01,9 | 21 | 28,179,20260718,0
how to see northern lights,0,1900,0 | 7 | 0 | 3 | 5 | 4 | 54 | 0 | 5 | 1 | 0 | 0,32,0.61,0.19,7 | 9 | 21 | 28 | 43 | 50,188,20260718,0
how to see the northern lights tonight,0,1900,0 | 10 | 0 | 0 | 0 | 0 | 29 | 0 | 3 | 2 | 0 | 0,39,0,0.02,7 | 9 | 21 | 28 | 50,138,20260718,0
what is the northern lights,0,1900,0 | 1 | 0 | 0 | 3 | 13 | 29 | 4 | 5 | 3 | 3 | 3,52,0.14,0.04,6 | 7 | 9 | 20 | 21 | 28 | 36 | 50,153,20260718,0
what time for northern lights tonight,0,1900,2 | 81 | 1 | 3 | 4 | 3 | 100 | 0 | 5 | 0 | 1 | 2,43,0,0.02,9 | 21 | 28,185,20260718,0
what time is best to see aurora borealis tonight,0,1900,0 | 13 | 0 | 0 | 1 | 0 | 100 | 0 | 4 | 0 | 0 | 0,18,0,0.02,6 | 7 | 9 | 21 | 28 | 50,4280000,20260718,0
when are the northern lights visible,0,1900,1 | 19 | 1 | 2 | 4 | 2 | 100 | 1 | 4 | 1 | 1 | 1,24,0.54,0.08,7 | 9 | 21 | 28 | 50,199,20260718,0
when to see northern lights tonight,0,1900,0 | 5 | 0 | 0 | 0 | 0 | 44 | 0 | 0 | 0 | 0 | 0,41,0,0.33,7 | 9 | 21 | 28 | 50,180,20260718,0
where can we see aurora,0,1900,19 | 100 | 0 | 1 | 3 | 19 | 2 | 1 | 0 | 0 | 0 | 0,52,0.26,0.14,9 | 20 | 21 | 28 | 50,135,20260718,0
where can we see northern lights,0,1900,8 | 4 | 1 | 2 | 0 | 100 | 8 | 16 | 1 | 10 | 1 | 1,49,0.37,0.15,7 | 9 | 13 | 21 | 28 | 36 | 50,199,20260718,0
where to see aurora,0,1900,1 | 16 | 0 | 2 | 1 | 2 | 2 | 2 | 100 | 3 | 3 | 5,36,0.26,0.14,6 | 9 | 21 | 28 | 50,135,20260718,0
where to see aurora lights,0,1900,0 | 0 | 2 | 8 | 1 | 0 | 2 | 8 | 100 | 1 | 3 | 2,40,0.26,0.14,6 | 9 | 20 | 21 | 28 | 36 | 43 | 50,187,20260718,0
are there northern lights tonight,0,1600,1 | 10 | 1 | 2 | 5 | 3 | 81 | 3 | 8 | 2 | 2 | 1,48,0,0.01,9 | 21 | 28,175,20260718,0
can you see the northern lights in alaska,0,1600,29 | 36 | 36 | 43 | 29 | 36 | 54 | 20 | 22 | 22 | 22 | 36,40,0.4,0.1,6 | 7 | 9 | 20 | 21 | 28 | 36 | 43 | 50,165,20260718,0
how does the aurora borealis occur,0,1600,4 | 4 | 1 | 1 | 7 | 5 | 100 | 8 | 8 | 4 | 7 | 5,60,0.05,0.03,7 | 9 | 20 | 21 | 28 | 50,147,20260718,0
what time northern lights tonight,0,1600,0 | 10 | 0 | 0 | 0 | 0 | 54 | 0 | 0 | 0 | 0 | 0,58,0,0.01,7 | 9 | 21 | 28 | 50,183,20260718,0
what time to see the northern lights tonight,0,1600,0 | 7 | 0 | 0 | 2 | 0 | 44 | 0 | 1 | 0 | 0 | 0,24,0,0.33,7 | 9 | 21 | 28,189,20260718,0
when can i see the northern lights,0,1600,0 | 8 | 0 | 0 | 1 | 0 | 16 | 0 | 3 | 0 | 0 | 0,19,0.4,0.03,7 | 9 | 21 | 28 | 50,203,20260718,0
when can you see the northern lights in alaska,0,1600,29 | 29 | 35 | 35 | 29 | 29 | 35 | 24 | 29 | 24 | 24 | 24,23,0.23,0.2,9 | 21 | 28 | 50,180,20260718,0
when will the northern lights be visible tonight,0,1600,0 | 19 | 0 | 0 | 0 | 0 | 100 | 0 | 3 | 0 | 0 | 0,44,0,0.33,7 | 9 | 21 | 28 | 50,189,20260718,0
where and when to see the northern lights,0,1600,5 | 8 | 7 | 5 | 12 | 44 | 44 | 8 | 23 | 12 | 16 | 81,31,0.37,0.15,7 | 9 | 13 | 28 | 36,189,20260718,0
where can i see northern lights,0,1600,29 | 8 | 8 | 5 | 23 | 12 | 66 | 12 | 44 | 4 | 5 | 7,38,0.26,0.14,6 | 7 | 9 | 20 | 21 | 28 | 36 | 50,199,20260718,0
will i be able to see the northern lights tonight,0,1600,0 | 5 | 0 | 0 | 2 | 0 | 36 | 0 | 4 | 0 | 0 | 0,52,0,0.01,7 | 9 | 21 | 28,188,20260718,0
are northern lights visible tonight,0,1300,0 | 5 | 0 | 0 | 3 | 1 | 44 | 3 | 4 | 1 | 0 | 2,48,0,0.01,9 | 21 | 28,172,20260718,0
are the northern lights out tonight,0,1300,0 | 1 | 0 | 0 | 1 | 1 | 100 | 4 | 1 | 0 | 0 | 0,25,0,0.01,7 | 9 | 21 | 28 | 50,185,20260718,0
can you see northern lights tonight,0,1300,0 | 19 | 0 | 0 | 4 | 2 | 54 | 1 | 8 | 0 | 0 | 0,43,0,0.33,7 | 9 | 21 | 28 | 50,177,20260718,0
is there a solar flare today,0,1300,30 | 100 | 54 | 36 | 36 | 41 | 100 | 36 | 36 | 41 | 30 | 30,64,0,0.33,9 | 21 | 28 | 50,164,20260718,0
is there northern lights tonight,0,1300,0 | 8 | 1 | 3 | 8 | 4 | 81 | 3 | 7 | 3 | 3 | 3,33,0.96,0.01,9 | 14 | 15 | 21 | 28,178,20260718,0
what time is best to see the northern lights tonight,0,1300,0 | 7 | 0 | 0 | 0 | 0 | 100 | 0 | 4 | 0 | 0 | 0,47,0,0.02,7 | 9 | 21 | 28 | 50,191,20260718,0
when are northern lights visible,0,1300,3 | 29 | 2 | 4 | 5 | 3 | 66 | 3 | 4 | 3 | 1 | 1,46,0.41,0.03,9 | 21 | 28 | 50,190,20260718,0
when can you view the northern lights in alaska,0,1300,79 | 79 | 2 | 30 | 54 | 54 | 79 | 54 | 54 | 54 | 66 | 66,20,0.34,0.2,6 | 9 | 21 | 28 | 43 | 50,166,20260718,0
when do the northern lights occur,0,1300,10 | 29 | 22 | 20 | 22 | 16 | 81 | 20 | 36 | 16 | 16 | 13,53,0.37,0.02,6 | 9 | 21 | 28 | 50,188,20260718,0
when is the aurora borealis visible,0,1300,1 | 10 | 1 | 4 | 5 | 4 | 100 | 2 | 7 | 2 | 2 | 1,49,0.35,0.05,6 | 9 | 15 | 21 | 28 | 50,192,20260718,0
when to see northern lights,0,1300,1 | 7 | 1 | 1 | 2 | 1 | 24 | 1 | 4 | 0 | 0 | 0,41,0.44,0.05,6 | 9 | 20 | 21 | 28 | 50,196,20260718,0
when to see the northern lights tonight,0,1300,0 | 19 | 0 | 0 | 0 | 0 | 100 | 0 | 1 | 0 | 0 | 0,47,0,0.01,9 | 21 | 28 | 50,178,20260718,0
when will the aurora borealis be visible,0,1300,2 | 16 | 0 | 2 | 7 | 2 | 100 | 2 | 10 | 0 | 1 | 1,54,1.54,0.03,6 | 7 | 9 | 21 | 28,192,20260718,0
when will the northern lights be visible,0,1300,0 | 3 | 0 | 0 | 1 | 0 | 24 | 0 | 2 | 0 | 0 | 0,32,1.05,0.02,9 | 15 | 21 | 28 | 49 | 50,189,20260718,0
where can i see the aurora lights,2,1300,0 | 0 | 0 | 100 | 3 | 2 | 10 | 1 | 3 | 2 | 2 | 3,49,0.26,0.14,6 | 9 | 21 | 28 | 43 | 50,206,20260718,0
where can you see the northern lights tonight,0,1300,0 | 10 | 0 | 4 | 1 | 1 | 44 | 0 | 4 | 0 | 0 | 0,42,0.66,0.02,7 | 9 | 21 | 50,177,20260718,0
where do you see the northern lights,0 | 2,1300,1 | 2 | 1 | 5 | 8 | 16 | 4 | 4 | 13 | 13 | 13 | 0,49,0.21,0.19,9 | 21 | 28 | 50,185,20260718,0
where is the aurora borealis,0,1300,12 | 7 | 16 | 12 | 16 | 19 | 44 | 7 | 23 | 35 | 12 | 12,75,0.24,0.05,9 | 21 | 28 | 50,171,20260718,0
where is the northern lights,0,1300,8 | 8 | 5 | 6 | 8 | 8 | 24 | 4 | 4 | 6 | 6 | 12,55,0.24,0.05,7 | 9 | 21 | 28 | 50,193,20260718,0
where to find northern lights,0,1300,0 | 0 | 0 | 7 | 44 | 3 | 1 | 1 | 2 | 1 | 7 | 0,40,0.26,0.14,6 | 9 | 20 | 21 | 28 | 50,183,20260718,0
will northern lights be visible tonight,0,1300,0 | 15 | 0 | 0 | 8 | 2 | 100 | 1 | 8 | 1 | 0 | 0,35,0,0,9 | 21 | 28 | 50,181,20260718,0
will there be northern lights tonight,0,1300,0 | 2 | 0 | 0 | 2 | 0 | 24 | 0 | 2 | 0 | 0 | 0,35,0,0,9 | 21 | 28 | 50,179,20260718,0
will we see the northern lights tonight,0,1300,0 | 13 | 1 | 3 | 3 | 3 | 100 | 2 | 19 | 1 | 2 | 1,26,0,0.01,7 | 9 | 21 | 28,186,20260718,0
can the northern lights be seen tonight,0,1000,0 | 23 | 1 | 2 | 10 | 4 | 44 | 2 | 44 | 0 | 1 | 1,48,0.97,0.01,7 | 9 | 21 | 28 | 50,178,20260718,0
is the aurora borealis visible tonight,0,1000,0 | 3 | 0 | 0 | 2 | 1 | 36 | 0 | 4 | 0 | 0 | 0,27,0,0.33,7 | 9 | 21 | 28 | 50,179,20260718,0
is the northern lights visible tonight,0,1000,0 | 3 | 0 | 1 | 5 | 3 | 100 | 2 | 2 | 1 | 1 | 0,39,0,0.33,7 | 9 | 21 | 28 | 50,180,20260718,0
what time are northern lights tonight,0,1000,0 | 54 | 0 | 0 | 12 | 1 | 81 | 0 | 4 | 0 | 0 | 0,48,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
what time to see northern lights,0,1000,0 | 16 | 0 | 0 | 1 | 0 | 10 | 0 | 5 | 0 | 0 | 0,17,0,0.05,7 | 9 | 21 | 28,190,20260718,0
when are the northern lights,0,1000,3 | 10 | 3 | 4 | 5 | 4 | 29 | 3 | 10 | 2 | 4 | 3,20,0.36,0.04,9 | 21 | 28 | 50,216,20260718,0
when can you see the aurora borealis in alaska,0,1000,81 | 62 | 62 | 55 | 62 | 62 | 81 | 55 | 62 | 45 | 62 | 55,27,0.34,0.2,6 | 9 | 21 | 28 | 50,179,20260718,0
when to see the northern lights,2,1000,3 | 10 | 2 | 3 | 6 | 3 | 36 | 2 | 6 | 0 | 1 | 1,43,0.45,0.09,9 | 21 | 28 | 50,199,20260718,0
where and when to see northern lights,0,1000,0 | 0 | 1 | 0 | 1 | 1 | 0 | 0 | 3 | 100 | 5 | 5,51,0.26,0.14,9 | 21 | 28 | 50,134,20260718,0
where can you see northern lights,0,1000,18 | 53 | 24 | 13 | 13 | 10 | 24 | 10 | 7 | 7 | 18 | 24,31,0.21,0.19,6 | 9 | 21 | 28 | 50,185,20260718,0
where can you see the aurora borealis in america,0,1000,22 | 36 | 2 | 16 | 29 | 29 | 65 | 22 | 29 | 13 | 16 | 16,29,0.24,0.13,6 | 9 | 21 | 28 | 50,182,20260718,0
where can you see the aurora borealis in the us,0 | 2,1000,27 | 27 | 3 | 20 | 36 | 36 | 100 | 27 | 36 | 7 | 20 | 20,30,0.18,0.14,9 | 21 | 28 | 50,181,20260718,0
where is the northern light located,0,1000,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0,52,0.26,0.14,6 | 9 | 13 | 20 | 21 | 28 | 50,167,20260718,0
where to see northern lights in usa,0 | 2,1000,13 | 10 | 19 | 13 | 24 | 24 | 24 | 13 | 15 | 10 | 7 | 10,29,0.18,0.14,6 | 9 | 21 | 28 | 50,184,20260718,0
can i see the northern lights from my locati0n tonight,0,880,0 | 0 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,43,0,0.02,7 | 9 | 21 | 28 | 50,189,20260718,0
can we see northern lights tonight,0,880,0 | 13 | 0 | 0 | 4 | 1 | 66 | 0 | 7 | 0 | 0 | 0,53,0,0.01,7 | 9 | 21 | 28 | 50,176,20260718,0
how to view northern lights,0,880,1 | 3 | 0 | 2 | 3 | 1 | 10 | 0 | 3 | 0 | 1 | 0,19,0.61,0.19,6 | 9 | 21 | 28 | 50,201,20260718,0
what time are the northern lights,0,880,0 | 5 | 0 | 0 | 1 | 0 | 29 | 0 | 3 | 0 | 0 | 0,35,0,0.01,9 | 21 | 28 | 50,183,20260718,0
what time is northern lights tonight,0,880,0 | 4 | 0 | 0 | 0 | 1 | 29 | 0 | 5 | 0 | 0 | 0,25,0,0.01,7 | 9 | 21 | 28 | 50,188,20260718,0
what time is the aurora tonight,0,880,3 | 35 | 3 | 5 | 2 | 5 | 66 | 1 | 66 | 2 | 5 | 5,50,0,0.01,7 | 9 | 21 | 28 | 50,226,20260718,0
what time will the aurora borealis be visible tonight,0,880,0 | 4 | 0 | 0 | 3 | 1 | 29 | 0 | 3 | 0 | 0 | 0,43,1.69,0.04,9 | 21 | 28 | 50,184,20260718,0
when are the northern lights in alaska,0,880,46 | 37 | 52 | 52 | 52 | 46 | 52 | 46 | 68 | 46 | 37 | 37,18,0.33,0.17,6 | 9 | 21 | 28 | 36 | 50,187,20260718,0
when can i see the aurora borealis,0,880,3 | 24 | 3 | 2 | 7 | 1 | 100 | 0 | 3 | 0 | 1 | 0,21,0.27,0.07,9 | 21 | 28 | 50,193,20260718,0
when can you see the northern lights tonight,0,880,0 | 13 | 0 | 0 | 0 | 0 | 66 | 0 | 2 | 0 | 0 | 0,29,0,0,9 | 28 | 50,,20260718,0
when is the northern lights tonight,0,880,0 | 12 | 0 | 0 | 1 | 0 | 100 | 0 | 1 | 0 | 0 | 0,48,0,0.02,7 | 9 | 21 | 28 | 50,181,20260718,0
when to see aurora borealis,0,880,4 | 8 | 3 | 4 | 10 | 4 | 54 | 3 | 10 | 2 | 3 | 3,23,0.62,0.11,7 | 9 | 21 | 28 | 50,191,20260718,0
where are northern lights,0,880,8 | 8 | 29 | 29 | 8 | 10 | 36 | 43 | 4 | 3 | 29 | 4,61,0.24,0.05,6 | 9 | 20 | 21 | 28 | 50,109,20260718,0
where are the aurora lights,0,880,24 | 13 | 24 | 20 | 24 | 24 | 82 | 44 | 20 | 16 | 20 | 24,60,0.4,0.05,3 | 6 | 7 | 9 | 21 | 28,190,20260718,0
where can i go to see the aurora borealis,0,880,20 | 20 | 24 | 20 | 24 | 34 | 100 | 30 | 30 | 3 | 24 | 16,51,0.67,0.38,6 | 7 | 9 | 21 | 28 | 43 | 50,202,20260718,0
where can you see aurora lights,2,880,100 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0,39,0.26,0.14,3 | 6 | 9 | 21 | 28 | 36,173,20260718,0
where to go to see the northern lights,0,880,24 | 24 | 20 | 20 | 30 | 30 | 100 | 36 | 41 | 20 | 24 | 20,23,0.67,0.38,6 | 9 | 20 | 21 | 28 | 36 | 50,196,20260718,0
how to see northern lights tonight,0,720,0 | 8 | 0 | 0 | 0 | 0 | 10 | 0 | 2 | 1 | 0 | 0,43,0,0.05,7 | 9 | 21 | 28 | 50,181,20260718,0
is aurora borealis visible tonight,0,720,0 | 2 | 0 | 1 | 4 | 2 | 44 | 2 | 3 | 1 | 1 | 1,40,0,0,9 | 21 | 28,178,20260718,0
is it storming right now,0,720,55 | 67 | 67 | 45 | 45 | 45 | 36 | 36 | 24 | 36 | 100 | 55,89,0,0.33,9 | 21 | 28 | 50,226,20260718,0
is the aurora visible tonight,0,720,0 | 10 | 0 | 3 | 10 | 5 | 100 | 4 | 7 | 3 | 3 | 2,34,0,0.01,7 | 9 | 21 | 28 | 50,170,20260718,0
is the solar flare today,0,720,41 | 100 | 4 | 24 | 36 | 41 | 0 | 36 | 0 | 30 | 30 | 30,62,0,0.33,9 | 21 | 28 | 50,176,20260718,0
is there a solar storm today,0,720,30 | 66 | 36 | 16 | 24 | 30 | 24 | 30 | 41 | 20 | 24 | 24,86,0,0.33,9 | 21 | 28 | 50,161,20260718,0
is there any solar flares today,0,720,41 | 100 | 4 | 24 | 36 | 41 | 0 | 36 | 0 | 30 | 30 | 30,70,0,0.33,9 | 21 | 28,155,20260718,0
what direction are the northern lights,0,720,0 | 1 | 0 | 0 | 0 | 0 | 100 | 0 | 0 | 0 | 0 | 0,33,0,0.33,7 | 9 | 20 | 21 | 28 | 50,186,20260718,0
what time can we see northern lights tonight,0,720,0 | 19 | 0 | 0 | 5 | 1 | 100 | 1 | 10 | 0 | 0 | 0,32,0,0.33,7 | 9 | 21 | 28 | 50,181,20260718,0
what time can we see the northern lights tonight,0,720,0 | 10 | 0 | 0 | 0 | 0 | 44 | 0 | 2 | 0 | 0 | 0,30,0,0.01,9 | 21 | 28,189,20260718,0
what time can you see the northern lights,0,720,0 | 4 | 0 | 0 | 3 | 0 | 54 | 0 | 6 | 0 | 0 | 0,31,0,0.02,9 | 21 | 28 | 50,189,20260718,0
what time to see the northern lights,0,720,0 | 3 | 0 | 0 | 4 | 0 | 100 | 0 | 5 | 0 | 0 | 0,35,0,0.05,6 | 7 | 9 | 20 | 21 | 28 | 36 | 50,174,20260718,0
what's the northern lights,0,720,4 | 7 | 4 | 5 | 7 | 11 | 11 | 20 | 100 | 84 | 84 | 84,62,0.14,0.04,6 | 9 | 15 | 20 | 21 | 28 | 36 | 50,150,20260718,0
when are the northern lights visible tonight,0,720,0 | 2 | 0 | 0 | 1 | 0 | 100 | 0 | 1 | 0 | 0 | 0,32,0,0,9 | 21 | 28 | 50,185,20260718,0
when can you see the aurora borealis,0,720,24 | 34 | 20 | 16 | 30 | 13 | 100 | 8 | 44 | 13 | 13 | 11,34,0.21,0.07,6 | 9 | 21 | 28 | 50,193,20260718,0
when is alaska northern lights,0,720,24 | 16 | 10 | 30 | 81 | 81 | 6 | 4 | 81 | 62 | 62 | 4,26,0.33,0.17,9 | 21 | 28 | 36 | 50,172,20260718,0
when is the aurora borealis,2,720,2 | 8 | 2 | 2 | 1 | 1 | 19 | 3 | 8 | 3 | 3 | 1,35,0.36,0.04,9 | 21 | 28 | 50,188,20260718,0
when is the best time to see northern lights,2,720,3 | 13 | 3 | 24 | 24 | 24 | 100 | 16 | 44 | 30 | 7 | 11,22,0.66,0.25,6 | 7 | 9 | 21 | 28 | 50,169,20260718,0
when is the northern lights,0 | 2,720,2 | 13 | 1 | 3 | 4 | 3 | 23 | 1 | 4 | 1 | 1 | 1,49,0.28,0.04,6 | 9 | 21 | 28 | 50,215,20260718,0
when to see northern lights in alaska,0,720,24 | 36 | 54 | 41 | 24 | 36 | 36 | 30 | 36 | 16 | 24 | 24,23,0.41,0.22,6 | 9 | 21 | 28 | 50,174,20260718,0
when will northern lights be visible,0,720,0 | 12 | 0 | 0 | 3 | 0 | 66 | 0 | 3 | 0 | 0 | 0,43,1.05,0.02,6 | 9 | 21 | 28 | 50,191,20260718,0
where are the northern lights visible,0,720,1 | 3 | 1 | 2 | 3 | 3 | 29 | 1 | 2 | 1 | 1 | 1,69,0.22,0.1,9 | 21 | 28 | 50,110,20260718,0
where can i see northern lights tonight,0,720,10 | 5 | 2 | 0 | 44 | 0 | 100 | 0 | 13 | 0 | 0 | 0,49,0.66,0.02,7 | 9 | 21 | 28 | 50,178,20260718,0
where can i see the aurora borealis,2,720,15 | 2 | 13 | 1 | 2 | 1 | 13 | 10 | 0 | 5 | 0 | 1,58,0.37,0.15,6 | 9 | 21 | 28,210,20260718,0
where is aurora,0,720,36 | 36 | 45 | 36 | 45 | 55 | 81 | 100 | 45 | 30 | 36 | 36,66,0,0.33,5 | 7 | 9 | 13 | 21 | 28 | 50,131,20260718,0
where is northern lights,0,720,36 | 24 | 5 | 7 | 52 | 7 | 16 | 4 | 52 | 2 | 3 | 3,56,0.24,0.05,6 | 7 | 9 | 21 | 28 | 50,133,20260718,0
will there be an aurora tonight,0,720,1 | 4 | 1 | 1 | 3 | 2 | 100 | 1 | 0 | 0 | 0 | 0,46,0,0.01,7 | 9 | 21 | 28 | 50,195,20260718,0
